dataset,rms-mad,mrs-mad,rms2-mad,rmsp5-mad,rms-rmsd,mrs-rmsd,rms2-rmsd,rmsp5-rmsd
cubebreadtoychips,48.107055401743374,41.56353705737424,177.407609346614,74.79682686698949,110.35418936812464,100.54421981140275,446.302266543596,119.93932998165276
cubechips,8.500587308593545,8.524269731548989,8.928091621859487,8.523158653382236,14.911560686516884,14.986693764750445,15.881084870639034,14.369181652265334
cubetoy,11.119333509203956,11.12056619000852,11.514779945544309,11.877579862966652,17.82220824816128,17.82471103038167,18.499327530392762,20.019722965146165
dinobooks,24.756740464552507,25.10089739333438,30.330445880642475,29.00143617016955,54.312072604617654,54.71864207780654,66.68187868677198,83.11791243938453
elderhalla,0.39691267803146946,0.39698872329866014,0.39732194016525807,0.3956685448576545,0.8236120660520944,0.8236218106308419,0.8235694008361154,0.8233714928891739
elderhallb,0.8627954349957991,0.8633154416741076,0.8652190252886613,0.853393666556025,1.673194377943272,1.6747602016057395,1.6800560586236057,1.649158662919495
game,0.7356505138618722,0.7356518745732683,0.7358917043826199,0.7376177848185932,1.4374084121744477,1.4377531117581044,1.4391094882781792,1.4349218510071982
gamebiscuit,1.5111325764496089,1.5072432270214655,1.4865421829146452,1.5221467956769406,2.733297260841611,2.7287550495456308,2.6985577567270025,2.7460789012741724
hartley,1.0275015054895367,1.0299258148886217,1.0427446564881904,0.9810820590732398,2.5099074322204014,2.512282393296535,2.5250949665598355,2.4612863994185985
johnsona,3.717818785457882,3.714066593257128,3.7097387920033467,3.915922131907384,7.367345901665009,7.352043151658345,7.320686946779424,7.906794855685615
johnsonb,1.347714949666885,1.346135604112153,1.3420412526668675,1.3947299693763489,6.556014270433287,6.5551507333960455,6.5525391407525735,6.5816593682683155
ladysymon,0.9435028647868071,0.9437095375516471,0.9445690637261123,0.9397271761660816,2.4394488990618215,2.4406759222454366,2.445471271690666,2.4154904032289766
library,0.610886674812331,0.6113430210151348,0.6144853126980859,0.6097427546029102,1.2218425116779295,1.222748755883234,1.228852131583679,1.2061457591243585
napiera,0.7275840797974231,0.7239035490029012,0.7068284007795038,0.9462223566010316,1.2935651424944477,1.2915801903939503,1.2923027001397853,1.5752327915158406
napierb,1.0649189689879455,1.1566350867632218,1.6265356166548064,3.108984504454664,4.769877749912475,4.893130738140483,5.58844799421809,6.68439658708369
neem,3.082081648731152,3.0808636459189374,3.0751084560672206,3.181998694004944,5.34862881393302,5.349580120521149,5.355033486900864,5.386726486098166
nese,1.965036402410665,1.9636563203033641,1.9574415975802413,2.0821170620631264,3.245281846428185,3.240521491614192,3.2155008167813044,3.6650134281163056
oldclassicswing,0.4156080077899508,0.4162303700969652,0.4203106782607105,0.4011682223245169,1.9751296496468151,1.9758924237187978,1.9800956034185062,1.9542467572921542
physics,2.6890058085725608,2.652068425600363,2.5282340514851254,3.4407371316846658,5.649422194582715,5.595188048843687,5.398114360012741,6.682340604905159
sene,0.7761045342861076,0.768285805902336,0.7330066413214257,0.8880925329940584,1.5591164419461854,1.5541573192624993,1.533393533269577,1.6429753499046285
toycubecar,28.095625833473964,28.1588784268474,29.00901005497701,37.27138325121739,72.28482381616934,71.70883336518133,71.140849879154,105.79203483641261
